offline_datapoint_25 1701257507 778,000
offline_datapoint_19 1701257505 5,649
offline_datapoint_8 1701257505 380,811
offline_datapoint_21 1701257507 74588160,000
offline_datapoint_1 1701257505 0,665
offline_datapoint_20 1701257507 10297049088,000
offline_datapoint_7 1701257507 6284185600,000
offline_datapoint_6 1701257505 0,000
offline_datapoint_12 1701257505 1,934
offline_datapoint_24 1701257505 0,454
offline_datapoint_13 1701257505 7342,737
offline_datapoint_18 1701257507 0,000
offline_datapoint_0 1701257505 12384,659
offline_datapoint_16 1701257505 866,959
offline_datapoint_28 1701257505 0,252
offline_datapoint_17 1701257505 6,646
offline_datapoint_10 1701257505 99,772
offline_datapoint_29 1701257505 0,000
offline_datapoint_22 1701257505 18841,600
offline_datapoint_4 1701257505 0,003
offline_datapoint_11 1701257510 28230,000
offline_datapoint_5 1701257510 4966,000
offline_datapoint_26 1701257510 585670656,000
offline_datapoint_14 1701257510 481325056,000
offline_datapoint_3 1701257510 14057095168,000
offline_datapoint_9 1701257510 74686464,000
offline_datapoint_25 1701257510 777,000
offline_datapoint_19 1701257508 20,037
offline_datapoint_8 1701257508 1943,225
offline_datapoint_21 1701257510 74686464,000
offline_datapoint_1 1701257508 2,338
offline_datapoint_20 1701257510 10294992896,000
offline_datapoint_7 1701257510 6283952128,000
offline_datapoint_6 1701257508 0,130
offline_datapoint_12 1701257508 1,211
offline_datapoint_24 1701257508 0,978
offline_datapoint_13 1701257508 7538,805
offline_datapoint_18 1701257510 0,000
offline_datapoint_0 1701257508 12533,284
offline_datapoint_16 1701257508 1200,532
offline_datapoint_28 1701257508 0,472
offline_datapoint_17 1701257508 8,015
offline_datapoint_10 1701257508 99,730
offline_datapoint_29 1701257508 0,000
offline_datapoint_22 1701257508 34304,000
offline_datapoint_4 1701257508 0,005
offline_datapoint_11 1701257513 28230,000
offline_datapoint_5 1701257513 5001,000
offline_datapoint_26 1701257513 585691136,000
offline_datapoint_14 1701257513 482168832,000
offline_datapoint_3 1701257513 14062428160,000
offline_datapoint_9 1701257513 75313152,000
offline_datapoint_25 1701257513 785,000
offline_datapoint_19 1701257511 299,756
offline_datapoint_8 1701257511 5533,155
offline_datapoint_21 1701257513 75313152,000
offline_datapoint_1 1701257511 59,618
offline_datapoint_20 1701257513 10297786368,000
offline_datapoint_7 1701257513 6294687744,000
offline_datapoint_6 1701257511 0,000
offline_datapoint_12 1701257511 2,212
offline_datapoint_24 1701257511 0,911
offline_datapoint_13 1701257511 8236,951
offline_datapoint_18 1701257513 0,000
offline_datapoint_0 1701257511 14275,693
offline_datapoint_16 1701257511 1367,552
offline_datapoint_28 1701257511 1,258
